리뷰,평점,라벨링
국물이  냄새도없고 담백하고  맛있었어요,3.5,0
"뷰 맛집~ 
근데 파스타는 별로에요. ",3,0
옛날맛에서 변했어요 감튀도 냉동싸구려고 햄버거 내용물이 많이 짜졌어요,1.5,0
생각했던 스페인요리와는 조금 다르네요. 그래도 직원분들이 친절하십니다.,3,0
"마이크로 웨이팅 번호 부르고 어디 앉아라 계속 말하는통에 음식이 입으로 들어가는지 코로 들어가는지.. 시장통이 따로 없어요.  계산하러가니 카운터분도 아무말없이 젓가락으로 카드꽂는곳 가르키더니 영수증 주고 끝.  불친
절해서 다시 갈진 모르겠네요 맛은 상상되는 해물누룽지탕 맛입니다",2,0
"점심 특선 메뉴 김치찌게인데..공기밥 추가 주문이라뇨?
앞선 두번 식사때 제공된 공기밥은 실수하신건가요?
정보제공을 확실히 해주세요",1,0
"방송도 꽤 타고 리뷰도 좋길래 기대하고 먹어봤는데 국물없음 못먹겠어요 ㅠㅠ
진짜 라면추가 필수에요
특이하고 담백하긴 한데 임팩트잇는 맛은 아니에요",3,0
"지인의 추천으로 비오는날 방문했어요~
음식맛은 좋았으나 비쌌고, 식사주문 받은 남자알바생 한명이 불친절했네요. 식사 거의 끝나가고 디저트 먹는데 그때부터 테이블 치워대고 포크까지 모조리 치워버려서 좀 황당했네요. 비오는날 방문이라 그런지 뒷편 주차장 진흙탕에 물고여서 신발 버리고;; 좋은 기분으로 갔다가 두번은 못오겠다 생각했네요. 그산속 골짜기까지 맛집?이라도 기대하고 갔는데, 사소한 불편함으로, 그냥 입소문으로 한번쯤은 가볼만한 곳이구나 생각했네요",1.5,0
그냥그래요 ㅎㅎ,3,0
"깔끔하고 큰 건물에 쾌적한 주차공간이 있어요.
비빔면은 약간 매큼하고 달지 않아서 맛이 없었어요. 평양냉면은 뭔가 부족한 느낌이에요. 
녹두전 먹지말고 만두 드세요.",3,0
좋아요,3.5,0
"강남점만가다가 홍대점 처음인데 예약독되고 주차도 너무잘되있고 좋아요
근데 맛이 강남점보다 뭔가 진하지않다고해야되나?수플레리조또와 파스타의크림맛이좀살짝 부족한느낌이랄까?맛있지만 살짝아쉬운부분이였습니다 그거빼고 다좋왔습니다 친절하시구요 네이버예약 서비스도주시고 그래도 완전 순삭하고왔어요",3,0
"외관보고 사진찍기 좋은.. 딱 거기까지인듯
메뉴 가격이 너무 사악하네요
조용한 분위기이긴한데 다신 안올듯",0.5,0
"직원 중 누구하나 마스크를 쓰지 않고 요리, 서빙해서 정말 당장 나오고 싶었는데 예약을 해놓아서 어쩔 수 없이 얼른 먹고 나왔어요ㅡ그냥 나오지 않은 제가 잘못인 거 같아요ㅡ 많은 사람을 대면하는 직원의 안전도 문제고, 먹는 사람들도 너무 불안하더군요ㅡ 음식할 때 위생마스크는 비상시가 아니라도 기본인 거 같은데. 그동안 꽤 이용한 식당인데 앞으로 갈 일은 없을 거 같습니다. ",1,0
별로,0.5,0
"맛있습니다.
깨끗합니다.",3.5,0
사리의 간이 너무 약해서 밸런스를 찾아볼 수 없고 재료를 미리 썰어두는 오마카세도 처음 보네요. 특히 몇몇 피스는 너무 비려서 뱉고싶을수준이였습니다. 부산 유명 스시야라해서 방문했는데 스시의 기본부터 다시 배우셔야할 것 같네요.,0.5,0
기대많이했는데 타우동집에 비해 면발쫄깃함과 튀김의 바삭함이 아쉬우며 가격도 비싼것에 대해 아쉬웠습니다,2,0
맛있었지만 생각보다 아쉬웠어요,3,0
"아바이마을 다녀와서 순댓국먹었어요
명태회 맛보기도 새콤달콤 괜찮아요.
강추!",3.5,0
비싸유,3.5,0
맛있어요,3.5,0
건강하고 정갈한 맛. 양이 많이 적어서 다시 갈지는 미지수.,3.5,0
별 마이너스 오만개!! 맛은 둘째고 직원들은 왜 다들 화가 나 있나요?,0.5,0
맛있지만 웨이팅 너무 길고.양이 적음,3.5,0
"그냥 돈가스집. 손으로 비닐 속에 있는 대량 빵 중에 두어개 그냥 집어서 준 그냥 생빵(데워지지 않음) All 플라스틱 식기 거의 맹물 커피(샷을 너무 아끼신듯) 그냥 뭐 여긴 뭐지? 하고 한번은
 와볼법한 곳. 외지에서 온거면 굳이 와볼 법한 곳은 아님.",1,0
ㅠㅠ.. 제입맛엔..,2.5,0
종류도 별로없고 호불호가 갈릴듯~,1,0
"강문해변 올때마다 여기오는게 국룰이였는데 기분탓인가 세상에 맛있는게 많아진건가 예전같진 않은느낌 가격대비 맛 괜찮음 하지만 뭔가 이제 다시 방문하고싶지 않은느낌 불친절한건 
아니지만 직원들이 좀더 주인의식을 가지면 좋을듯 감튀혜자",3.5,0
국물이 진하진 않아요 사람이 많아 번잡하기함 위생은 좋아진듯 하나...,3,0
동생이 검색 열심히 해서 갈치조림 먹으러 갔어요 미리 네이버로 예약하면 5% 할인받기도 해요 ~!  아침에 가서 단체팀이 있었고 네이버로 예약했다고 했는데 할인받는거 외엔 특별히 예약테이블이 있다거나 예약자  이름이 필요한건 아니였어요~!  1시간전에 전화하라고 해서 전화도 했는데 예약한 음식이 바로 나온다거나  하는것도 없었구요;; 맛은 괜찮았어요 반찬은 그냥 그랬구 갈치조림 양념이 맛있어서 잔뜩 껴얹어 먹었어요,3,0
"반찬이 전반적으로 정갈하구~ 순두부 전골은 담백하니 맛있어요ㅎㅎ
사장님이 친절해서 좋아요:-)",3.5,0
밀면 쫄깃해요. 부산은 밀면~,3,0
맛은 평범합니다. 이근처는 상향평준화 된거 같습니다.,3,0
섭국이랑 항아리물회 모두 맛있었어요! 사람이 많아서 정신은 없었지만 괜찮았던 속초 맛집! ㅎㅎ 굉장히 특출난 맛은 아니기에 별 조금 뺏어요,3.5,0
7시반 예약을 걸어놨는데 8시 다돼서야 요리가 나오기 시작... 이럴거면 예약을 왜하나요. 코스요리도 찹쌀탕수육 빼곤 구성이 겹쳐서 물림. 고량주만 먹다갑니다.,2.5,0
"기대 많이 했는데.. 신선도가 별로 였습니다 ㅠ 
고등어회초밥 비려요 ㅜ",3,0
섭국은 그냥 부드러운 홍합짬뽕탕 느낌이였어요! 근데 여기 오징어젓갈이 진짜 진짜 맛있어서 오징어 젓갈 두통이나 사가지고 나왔어요 얼려놓고 먹을거에요! 밥도둑 오징어젓갈!!,3.5,0
"회전보다 메뉴로 먹는게 가성비 좋을듯
친절하시고 재료 괜찮은듯 보임 쏘쏘한편",3.5,0
"맛 분위기 좋아요 
다만, 음식이 오래걸려요",3,0
그래,2.5,0
주문하고 명란오믈렛은 30분뒤에 나오고 광어모듬은 40분이 지나고 나왔어요 서빙은 친절하셨지만 .. 광어 고노와다먹고 담날 배 마니아프더라구여..,2,0
"뭐 제주도 가서 한번쯤은 먹을만 해요
그러나 재방문할 정도 아니예여~",3,0
예전과 달라짐..아쉬워요,1.5,0
물곰탕 맛있어요.  조금더 친절하면좋겠어요,2.5,0
좋아요,3,0
갈색 머리 여자분 너무 불친절하시고 양이 너무 적어요…….,1,0
사람이 많아 음료가 밀린 것도 아닌데 음료 나오는데 20 분 걸리네요... 음료도 딱 맛있다는 없어요 ㅠㅠ 카페는 예쁘고 분위기는 좋네요,2,0
한시간 대기는 기본ㅡ맛은있지만  서빙하시는 이모님들 친절도는  마이 부족. ,3.5,0
분위기는 좋은데 가격대가 넘 비싸요~~ㅠ,3,0
옛날 기억에 찾아 찾아 같더니.. 가격이. .. 생선 상태도  그닥... 고기 구워주는거 말고는 별로네요. 밑반찬도 허접하고.. 사진은 3인분 양입니다 이가격에는 다시 가고 싶지 안네요..,0.5,0
광안대교와 바다가 잘 보이는 야외테이블. 음식은 그냥 그랬고 샹그리아는 다른데보다 많이 달지 않아 좋았음,3.5,0
굿,3.5,0
그냥그래요...,3,0
고기 종류는 많았지만 다른 고기 무한리필 가게에 비해 퀄리티가 많이 떨어집니다. 조개는 크기가 작고 가리비도 없었습니다. 2만 5천원이라는 가격에는 다시 가지 않을 것입니다.,1,0
검색해보고 평점이 높은편이라 방문하게 됐는데 재방문은 안할것 같아요,2,0
맛나요,3.5,0
와 못먹고 버렸어요 냄새가냄새가 상한거 준건지..비가 생각보다 많이와서 시장으로 가려다가 안 가고 근처에서 생일 전날 회랑 케이크랑 같이 파티하려고 했는데 망..,0.5,0
싱싱하네요,3.5,0
같은 체인이라도 퀄리티 차이가 크네요 ,2,0
경치는 좋으나 너무 정신 없음.,3.5,0
오랜만에 가서 포장했는데 메뉴하나는 재료가 빠져있고 메뉴 물어봤는데 직원들 대답도 안해주고... 한번더 이러면 사람들에게도 소개 그만하렵니다,1,0
"콩국수 먹고싶을때 또 갈만해여 나머진 그냥그럼
소바육수에 얼음X 살얼음X 중간쯤먹다보니
소바국물 미지근 했어요",3,0
"냉면은 맛있게 먹고 나왔는데 발렛파킹비 2천원 뭐죠?
주차도 제가 했는데 내야해요? 물어보니까 주차비니까요 라고 하시네요. 발렛비는 발렛파킹 서비스가 필요한 상황에서 서비스를 받았을때 내는게 맞는거 같아요.",3,0
사람 별로 없었고 예약하고 갔어요. 그런데 음식나오는 시간이 생각보다 너무 오래 걸리네요ㅠㅠ 비행기 놓칠뻔....ㅠㅠ 맛은 없진 않아요!!,3,0
오픈하고 너무 맛있어서 입소문  나서 웨이팅이 있을때까지도 가던 단골집이었는데 오랜만에 방문하고 너무 놀랐어요. . 사실 그전에도 가격에 비해 양이 살짝 적은 느낌이었지만 대창이 너무 맛있어서(입에서 사르르 녹는맛) 단골이 되고 주변에도 많이 추천해줬어요. 근데 오늘 오랜만에 방문한 백야양대창 평소답지않게 웨이팅도 없고 가게 안에 자리가 많아서 의아해하며 들어갔는데 역시나네요. . 기존이 계시던 사장님은 안계시고 메뉴판도 가격도 올라있고(직원분들은 좀 더 좋은 부위를 쓰고 양을 늘려서 가격을 늘렸다고 하심) 막상 시켜본 대창은  내가 여기서 먹던 대창이 맞나싶을정도로 질겼네요ㅠㅠ 다시 예전 백야양대창으로 돌아와주세요ㅠㅠ 너무 아쉬워요,2,0
맛있어요,3.5,0
"내부가 너무 작아서 자리가 없어요
여름엔 야외에 앉기도 더워서 힘들듯 ㅎㅎ",3,0
친절하고 편한 주문 방식. 맛은?,3,0
"바다를 보면서 밥먹은 분위기는 좋았어요
깔끔했고 맛은 평범했어요 ^^~",3.5,0
"자매국수
과거보다 국물이 안진하네요",3,0
그냥 저냥 괜찮습니당 ~~~~ 강추까진 아니에여 평범한 맛 ㅋㅋㅎㅎ,3,0
재료는 신선한데 짜요,2.5,0
"눈으로 보는재미
맛은 그냥 그냥 건강해지는 자극없는 갈치구이 맛",3.5,0
카페가 예쁘고 스콘도 맛있어요 찾긴 좀 어려워요,3.5,0
너무 맛없어요.  면도 퉁퉁분게 별로고 국물이 짜서 물타서 먹었음. 후기에 맛있다해서 갔는데 오늘만 그런건지 의문임.,1,0
찌개가 참 맛있었습니다,3.5,0
수제햄버거,2.5,0
"식사도중 주방에서 포장음식던지다시피 내주는모습 별로~  바쁜시간 포장받지말라 홀이모한테 소리지르고 밥먹기 거북스러웠다
보쌈고기도 냄새나고~",1,0
#독개물항 #한림갈치조림 #협재갈치조림,1,0
"집이 근처라 오라 처음 생겼을때부터 여러번 방문했습니다 빵이나 음식은 맛이 나쁘지 않은데 카운터 직원들 응대가 너무 불친절해서 갈때마다 기분이 좋았던적이 없습니다  과한 친절을 바라는것이 아닙니다 적어도 손님 기분
이 상할정도의 말투나 행동은 정말 아니지 않나요? 들어갈때 인사도 받아본 기억이 없네요직원들이 손님을 하대하는 느낌을 받습니다 이번엔 괜찮겠지 라는 마음으로 방문하지만 매번 여전합니다 꼭 좀 알고 계셨으면 하는 마음
에 귀찮지만 영수증까지 인증하며 이렇게 올립니다 다른 리뷰들중 불친절 이야기가 여러개 있는거 보니 저만 느끼는 문제는 아닌것 같습니다 문제를 좀 인식하고 개선하셔야 할것 같습니다 맛이 아무리 좋아도 불친절한 ...",1,0
맛나요,3.5,0
맛있어요,3.5,0
만두가 맛있다하여 일부러 전화주문 미리하고 찾으러 오란 시간에 맞춰왔는데 ㅠ 와서 보니 주문 전화 한것조차 모르고 계시고 맛집이라 사람많아 정신없는건 알겠는데 이럴거면 전화주문 받지마시죠 ㅠ 서비스가 너무 정신없어서 좋은평 못하겠네요,1,0
쏘쏘했어요,3.5,0
샌드위치는 맛있었지만 커피가 별로에요  가격 생각한다면 커피맛이 개선되어야 할것 같습니다  자리도 창가 몇자리 빼고는 너무 어둡고 인테리어도 별로.. 가지마세요 ....,1,0
삼척본점가서 맛있게 식사한 기대가 있어 갔었는데 정말 실망하고 돌아갑니다 다시는 이곳은 갈것같지 않네요 ㅜ 반찬수도 너무 적고 고기양도 너무 적고 그에 비해 가격은 비싸고 강릉불고기라는 간판의미가 없는듯 하네요 삼척본점과 너무 비교됩니다 ㅜ,0.5,0
환타파인 가져다달라는 걸 계속 오렌지를 가져다주시던... 손님 우리 한팀뿐이였는데 그렇게 신경써주는 느낌도 없고 이 가격에 다시 올 곳은 아닌거같아요...,2,0
고기 국수 먹으로,3.5,0
종류가 많아요,3.5,0
"밀크티와 얼그레이쉬폰 괜찮아요~
맛보다는 분위기로 찾는 곳인듯 싶어요ㅎㅎ",3.5,0
맛있어요,3.5,0
좋아요,3,0
"가격대비 맛이 너무 떨어져요..음식 짜다고  하도 리뷰아 많아서 덜짜게 해달라고 했는데… 불가능하고.. 
런치코스에 샐러드랑, 애피타이져들은 다 허접스러운 그 자체.. ",0.5,0
"3년전 제주에 일주일있으면서 거의 4일은 이곳에서 
두끼씩 해결할정도로 좋았는데....많이 변했네요..
직원들은 식사끝나고 나간손님 그릇치우는데 던지다시피.. 저의 맛집이 하나 사라집니다ㅠ",2.5,0
"마페쿠 최고 좋아용 ♥️ 다만 원래 계시던 직원분이 아니라 다른분이 계셨는데 고객응대가 조금 불친절하셨어요... 잘 못들어서 다시 한번 여쭤봤는데 굉장히 귀찮은듯이 대답해주시고, 영수증 달라고 처음부터 이야기 했는데 다른 손님들 응대하시느라 바쁘셨나봐요. 
쿠키 너무 맛있어요. 멀리서 온 친구한테 '부산의 아주 유명한 쿠키다!' 자랑스럽게 이야기 했어요 😊 바쁘시겠지만 조금만 친절하셨으면 좋겠어용 감사합니다!",3.5,0
경치가 좋은 까페에요,3,0
"두시간 기다려서 먹었는데
고사리 육개장이 처음이라 다른 곳들과 비교할 수가 없음ㅋㅋㅋ",3.5,0
이 횟집 쓰레기입니다. 12명에 어른8아이4 네이버로 예약했는데 네이버 예약은 자기들 안받는다 하더군요.자리는 있는데 따로 앉으라네요. 돈에 눈이 멀어 다른 손님들 받느라 예약이고 뭐고 신경도 안쓰나 봅니다. 드러워서 다른곳으로 갔습니다.겁나 웃긴 곳이예요 다시한번 느끼지만 속초 다시는 안갑니다.,1,0
남직원이 불친절해요,0.5,0
